ticker,outcome,venue,primary_exchange,con_id,candidates,detail,attempts,elapsed_s,unexpected_venue
ABHY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
ABNY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
ACWF,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
ADFI,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
ADRE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
AEMB,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
AFTY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
AGIH,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
AGOV,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.011,no
AHHX,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
AHOY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
AIRL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
ALUM,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
AMDS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
AMJ,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
AMNA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
AMND,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
AMPD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
AMPS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
AMTR,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.011,no
APED,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
APRD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
APRQ,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
AQGX,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
AREA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.001,no
ARKA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
ARKC,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
ARKY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
ARKZ,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
ARMR,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.001,no
ASET,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
ASHX,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
ASPY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.002,no
AWEG,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
AWYX,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
BAL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.001,no
BBIP,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
BBSA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
BCIM,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
BCM,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
BECO,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
BFIT,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
BFTR,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.002,no
BICK,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
BIDS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.001,no
BJK,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
BKIV,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
BKSB,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
BKWO,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
BLCN,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
BLHY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
BLLD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
BLNG,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
BMAX,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
BMDL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
BNE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
BOED,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
BOSS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
BSCE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
BSCN,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
BSCO,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
BSCP,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
BSDE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
BSEA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
BSJN,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.010,no
BSJO,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
BSJP,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
BSMN,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
BSMO,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
BSMP,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
BTEC,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.010,no
BTEK,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
BTFX,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.013,no
BTHM,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
BTOP,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
BU,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.011,no
BULX,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
BWEB,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
BYTE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
CA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
CACG,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
CCMG,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
CCRV,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.010,no
CETH,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
CFCV,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.010,no
CHAD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
CHB,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
CHIC,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
CHIE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
