ticker,outcome,venue,primary_exchange,con_id,candidates,detail,attempts,elapsed_s,unexpected_venue
AAA,resolved,ARCA,ARCA,591368776,,1 contract(s),1,0.042,no
AAAU,resolved,BATS,BATS,458886642,,1 contract(s),1,0.272,no
AADR,resolved,NASDAQ,NASDAQ,77459165,,1 contract(s),1,0.176,no
AAPB,resolved,NASDAQ,NASDAQ,578561458,,1 contract(s),1,0.124,no
AAPD,resolved,NASDAQ,NASDAQ,578561422,,1 contract(s),1,0.149,no
AAPU,resolved,NASDAQ,NASDAQ,578561419,,1 contract(s),1,0.144,no
AAPW,resolved,BATS,BATS,762285103,,1 contract(s),1,0.141,no
AAPX,resolved,BATS,BATS,677037688,,1 contract(s),1,0.250,no
AAPY,resolved,BATS,BATS,742759295,,1 contract(s),1,0.180,no
AAVM,resolved,NASDAQ,NASDAQ,274839972,,1 contract(s),1,0.168,no
AAXJ,resolved,NASDAQ,NASDAQ,53224215,,1 contract(s),1,0.190,no
ABCS,resolved,NASDAQ,NASDAQ,672387402,,1 contract(s),1,0.112,no
ABEQ,resolved,ARCA,ARCA,400759002,,1 contract(s),1,0.153,no
ABFL,resolved,BATS,BATS,249323298,,1 contract(s),1,0.112,no
ABHY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
ABLD,resolved,BATS,BATS,532646868,,1 contract(s),1,0.142,no
ABLG,resolved,BATS,BATS,280803798,,1 contract(s),1,0.207,no
ABNY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
ABOT,resolved,BATS,BATS,459332002,,1 contract(s),1,0.114,no
ABXB,resolved,BATS,BATS,459332007,,1 contract(s),1,0.157,no
ACES,resolved,ARCA,ARCA,324405891,,1 contract(s),1,0.102,no
ACGR,resolved,ARCA,ARCA,500112901,,1 contract(s),1,0.122,no
ACIO,resolved,BATS,BATS,374309307,,1 contract(s),1,0.103,no
ACLC,resolved,ARCA,ARCA,434313480,,1 contract(s),1,0.147,no
ACSG,resolved,BATS,BATS,822736132,,1 contract(s),1,0.148,no
ACSI,resolved,BATS,BATS,493013391,,1 contract(s),1,0.220,no
ACT,resolved,NASDAQ,NASDAQ,490639140,,1 contract(s),1,0.176,no
ACTX,resolved,PINK,PINK,449336841,,1 contract(s),1,0.100,no
ACVF,resolved,ARCA,ARCA,452380575,,1 contract(s),1,0.108,no
ACVT,resolved,ARCA,ARCA,780410044,,1 contract(s),1,0.108,no
ACWF,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
ACWI,resolved,NASDAQ,NASDAQ,49954154,,1 contract(s),1,0.155,no
ACWV,resolved,BATS,BATS,96090060,,1 contract(s),1,0.143,no
ACWX,resolved,NASDAQ,NASDAQ,49954149,,1 contract(s),1,0.107,no
ADBG,resolved,NASDAQ,NASDAQ,770385177,,1 contract(s),1,0.201,no
ADFI,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
ADIV,resolved,ARCA,ARCA,479429905,,1 contract(s),1,0.113,no
ADME,resolved,BATS,BATS,236317234,,1 contract(s),1,0.230,no
ADPV,resolved,ARCA,ARCA,595361684,,1 contract(s),1,0.158,no
ADRE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
ADVE,resolved,ARCA,ARCA,655624691,,1 contract(s),1,0.148,no
AEMB,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
AESR,resolved,BATS,BATS,897367525,,1 contract(s),1,0.184,no
AETH,resolved,ARCA,ARCA,657517454,,1 contract(s),1,0.224,no
AFIF,resolved,BATS,BATS,897059140,,1 contract(s),1,0.115,no
AFK,resolved,ARCA,ARCA,229724413,,1 contract(s),1,0.117,no
AFLG,resolved,ARCA,ARCA,393990626,,1 contract(s),1,0.145,no
AFMC,resolved,ARCA,ARCA,393990631,,1 contract(s),1,0.103,no
AFSC,resolved,NASDAQ,NASDAQ,761715310,,1 contract(s),1,0.173,no
AFSM,resolved,ARCA,ARCA,393990632,,1 contract(s),1,0.150,no
AFTY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
AGEM,resolved,NASDAQ,NASDAQ,761715307,,1 contract(s),1,0.108,no
AGG,resolved,ARCA,ARCA,25985141,,1 contract(s),1,0.099,no
AGGA,resolved,NASDAQ,NASDAQ,781264656,,1 contract(s),1,0.101,no
AGGH,resolved,ARCA,ARCA,544622632,,1 contract(s),1,0.110,no
AGGS,resolved,ARCA,ARCA,700512610,,1 contract(s),1,0.107,no
AGGY,resolved,ARCA,ARCA,199490214,,1 contract(s),1,0.169,no
AGIH,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
AGIX,resolved,NASDAQ,NASDAQ,716375736,,1 contract(s),1,0.294,no
AGMI,resolved,NASDAQ,NASDAQ,701271196,,1 contract(s),1,0.367,no
AGNG,resolved,NASDAQ,NASDAQ,233010373,,1 contract(s),1,0.718,no
AGOV,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.011,no
AGOX,resolved,ARCA,ARCA,490162084,,1 contract(s),1,0.184,no
AGQ,resolved,ARCA,ARCA,141973400,,1 contract(s),1,0.254,no
AGQI,resolved,ARCA,ARCA,667433998,,1 contract(s),1,0.103,no
AGRH,resolved,ARCA,ARCA,569833343,,1 contract(s),1,0.132,no
AGRW,resolved,ARCA,ARCA,771558826,,1 contract(s),1,0.115,no
AGZ,resolved,ARCA,ARCA,55734123,,1 contract(s),1,0.121,no
AGZD,resolved,NASDAQ,NASDAQ,140149917,,1 contract(s),1,0.153,no
AHHX,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
AHLT,resolved,ARCA,ARCA,651419050,,1 contract(s),1,0.260,no
AHOY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
AHYB,resolved,ARCA,ARCA,526906295,,1 contract(s),1,0.115,no
AIA,resolved,NASDAQ,NASDAQ,47172453,,1 contract(s),1,0.108,no
AIBD,resolved,ARCA,ARCA,892340406,,1 contract(s),1,0.153,no
AIBU,resolved,ARCA,ARCA,703246377,,1 contract(s),1,0.128,no
AIEQ,resolved,ARCA,ARCA,680623539,,1 contract(s),1,0.150,no
AIFD,resolved,NASDAQ,NASDAQ,701271200,,1 contract(s),1,0.235,no
AIPI,resolved,NASDAQ,NASDAQ,707638934,,1 contract(s),1,0.125,no
AIQ,resolved,NASDAQ,NASDAQ,317792273,,1 contract(s),1,0.148,no
AIRL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
AIRR,resolved,NASDAQ,NASDAQ,145995043,,1 contract(s),1,0.148,no
AIS,resolved,ARCA,ARCA,745721503,,1 contract(s),1,0.106,no
AIVC,resolved,ARCA,ARCA,680623553,,1 contract(s),1,0.139,no
AIVI,resolved,ARCA,ARCA,39982953,,1 contract(s),1,0.086,no
AIVL,resolved,ARCA,ARCA,39579986,,1 contract(s),1,0.112,no
AIYY,resolved,ARCA,ARCA,832259489,,1 contract(s),1,0.128,no
ALAI,resolved,ARCA,ARCA,694990735,,1 contract(s),1,0.148,no
ALIL,resolved,NASDAQ,NASDAQ,775480568,,1 contract(s),1,0.104,no
ALLW,resolved,NASDAQ,NASDAQ,766489657,,1 contract(s),1,0.151,no
ALRG,resolved,ARCA,ARCA,797020932,,1 contract(s),1,0.107,no
ALTL,resolved,ARCA,ARCA,429664983,,1 contract(s),1,0.095,no
ALTY,resolved,NASDAQ,NASDAQ,199845147,,1 contract(s),1,0.220,no
ALUM,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
AMAX,resolved,ARCA,ARCA,526207456,,1 contract(s),1,0.112,no
AMDD,resolved,NASDAQ,NASDAQ,901009451,,1 contract(s),1,0.151,no
AMDG,resolved,NASDAQ,NASDAQ,756915683,,1 contract(s),1,0.196,no
AMDL,resolved,NASDAQ,NASDAQ,691439815,,1 contract(s),1,0.395,no
AMDS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
AMDW,resolved,BATS,BATS,801555747,,1 contract(s),1,0.116,no
AMDY,resolved,ARCA,ARCA,835599780,,1 contract(s),1,0.143,no
AMID,resolved,NASDAQ,NASDAQ,579683988,,1 contract(s),1,0.109,no
AMJ,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
AMJB,resolved,ARCA,ARCA,680623527,,1 contract(s),1,0.115,no
AMLP,resolved,ARCA,ARCA,419585780,,1 contract(s),1,0.107,no
AMNA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
AMND,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
AMOM,resolved,ARCA,ARCA,367310485,,1 contract(s),1,0.113,no
AMPD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
AMPS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
AMTR,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.011,no
AMUB,resolved,ARCA,ARCA,209265592,,1 contract(s),1,0.158,no
AMUN,resolved,NASDAQ,NASDAQ,824116109,,1 contract(s),1,0.116,no
AMUU,resolved,NASDAQ,NASDAQ,760766325,,1 contract(s),1,0.141,no
AMYY,resolved,NASDAQ,NASDAQ,814526878,,1 contract(s),1,0.108,no
