ticker,venue
AAA,ARCA
AAAU,BATS
AADR,NASDAQ
AAPB,NASDAQ
AAPD,NASDAQ
AAPU,NASDAQ
AAPW,BATS
AAPX,BATS
AAPY,BATS
AAVM,NASDAQ
AAXJ,NASDAQ
ABCS,NASDAQ
ABEQ,ARCA
ABFL,BATS
ABLD,BATS
ABLG,BATS
ABOT,BATS
ABXB,BATS
ACES,ARCA
ACGR,ARCA
ACIO,BATS
ACLC,ARCA
ACSG,BATS
ACSI,BATS
ACT,NASDAQ
ACTX,PINK
ACVF,ARCA
ACVT,ARCA
ACWI,NASDAQ
ACWV,BATS
ACWX,NASDAQ
ADBG,NASDAQ
ADIV,ARCA
ADME,BATS
ADPV,ARCA
ADVE,ARCA
AESR,BATS
AETH,ARCA
AFIF,BATS
AFK,ARCA
AFLG,ARCA
AFMC,ARCA
AFSC,NASDAQ
AFSM,ARCA
AGEM,NASDAQ
AGG,ARCA
AGGA,NASDAQ
AGGH,ARCA
AGGS,ARCA
AGGY,ARCA
AGIX,NASDAQ
AGMI,NASDAQ
AGNG,NASDAQ
AGOX,ARCA
AGQ,ARCA
AGQI,ARCA
AGRH,ARCA
AGRW,ARCA
AGZ,ARCA
AGZD,NASDAQ
AHLT,ARCA
AHYB,ARCA
AIA,NASDAQ
AIBD,ARCA
AIBU,ARCA
AIEQ,ARCA
AIFD,NASDAQ
AIPI,NASDAQ
AIQ,NASDAQ
AIRR,NASDAQ
AIS,ARCA
AIVC,ARCA
AIVI,ARCA
AIVL,ARCA
AIYY,ARCA
ALAI,ARCA
ALIL,NASDAQ
ALLW,NASDAQ
ALRG,ARCA
ALTL,ARCA
ALTY,NASDAQ
AMAX,ARCA
AMDD,NASDAQ
AMDG,NASDAQ
AMDL,NASDAQ
AMDW,BATS
AMDY,ARCA
AMID,NASDAQ
AMJB,ARCA
AMLP,ARCA
AMOM,ARCA
AMUB,ARCA
AMUN,NASDAQ
AMUU,NASDAQ
AMYY,NASDAQ
AMZA,ARCA
AMZD,NASDAQ
AMZP,BATS
AMZU,NASDAQ
AMZW,BATS
AMZY,ARCA
AMZZ,NASDAQ
ANEL,NASDAQ
ANEW,ARCA
ANGL,NASDAQ
AOA,ARCA
AOHY,NASDAQ
AOK,ARCA
AOM,ARCA
AOR,ARCA
AOTG,NASDAQ
APCB,ARCA
APIE,ARCA
APLU,ARCA
APLY,ARCA
APMU,ARCA
APRH,BATS
APRJ,BATS
APRT,BATS
APRW,BATS
APRZ,BATS
APUE,ARCA
AQWA,NASDAQ
ARB,ARCA
ARCM,BATS
ARCX,BATS
ARGT,ARCA
ARKB,BATS
ARKD,BATS
ARKF,BATS
ARKG,BATS
ARKK,BATS
ARKQ,BATS
ARKW,BATS
ARKX,BATS
ARMG,NASDAQ
ARMH,ARCA
ARP,ARCA
ARTY,ARCA
ARVR,NASDAQ
ASCE,ARCA
ASCI,NASDAQ
ASEA,ARCA
ASHR,ARCA
ASHS,ARCA
ASIA,ARCA
ASLV,ARCA
ASMF,ARCA
ASMG,NASDAQ
ASMH,ARCA
ATFV,ARCA
ATMP,BATS
AUGT,BATS
